"id","formula_masters_id","equipment_machine_id","equipment_machine_unit","tag_name","em_qty","topic_number","users_id","record_status","created_at","updated_at"
"240","MF2212019","MC007","-","","0","8","","1","2022-12-12 04:09:47","2022-12-12 04:09:47"
"241","MF2212019","MC009","-","","0","8","","1","2022-12-12 04:09:50","2022-12-12 04:09:50"
"242","MF2212019","MC008","-","","0","8","","1","2022-12-12 04:09:53","2022-12-12 04:09:53"
"243","MF2212014","MC009","-","","1","8","","1","2022-12-12 06:05:16","2022-12-12 06:05:36"
"244","MF2212014","MC008","-","","1","8","","1","2022-12-12 06:05:21","2022-12-12 06:05:37"
"245","MF2212014","MC007","-","","1","8","","1","2022-12-12 06:05:24","2022-12-12 06:05:37"
"246","MF2212014","MC006","-","","1","8","","1","2022-12-12 06:05:26","2022-12-12 06:05:38"
"247","MF2212014","MC005","-","","1","8","","1","2022-12-12 06:05:33","2022-12-12 06:05:39"
"248","MF2212020","MC009","-","","0","8","","1","2022-12-12 06:30:02","2022-12-12 06:30:02"
"249","MF2212020","MC008","-","","0","8","","1","2022-12-12 06:30:05","2022-12-12 06:30:05"
"250","MF2212020","MC007","-","","0","8","","1","2022-12-12 06:30:09","2022-12-12 06:30:09"
"251","MF2212020","MC006","-","","0","8","","1","2022-12-12 06:30:11","2022-12-12 06:30:11"
"252","MF2212020","MC005","-","","0","8","","1","2022-12-12 06:30:16","2022-12-12 06:30:16"
"253","MF2212021","MC002","-","","1","2","","1","2022-12-12 07:06:24","2022-12-12 07:08:59"
"254","MF2212021","MC001","-","","1","2","","1","2022-12-12 07:06:26","2022-12-12 07:09:03"
"255","MF2212021","MC003","-","","2","2","","1","2022-12-12 07:06:35","2022-12-12 07:09:06"
"256","MF2212021","MC004","-","","1","2","","1","2022-12-12 07:06:46","2022-12-12 07:09:08"
"257","MF2212021","EM001","-","","1","2","","1","2022-12-12 07:07:08","2022-12-12 07:09:11"
"258","MF2212021","LT002","-","","1","2","","1","2022-12-12 07:08:44","2022-12-12 07:09:12"
"259","MF2212021","LT001","-","","1","2","","1","2022-12-12 07:08:45","2022-12-12 07:09:18"
"260","MF2212021","MC005","-","","0","8","","1","2022-12-12 08:07:21","2022-12-12 08:07:21"
"261","MF2212021","MC006","-","","0","8","","1","2022-12-12 08:07:24","2022-12-12 08:07:24"
"262","MF2212021","MC007","-","","0","8","","1","2022-12-12 08:07:26","2022-12-12 08:07:26"
"263","MF2212021","MC008","-","","0","8","","1","2022-12-12 08:07:29","2022-12-12 08:07:29"
"264","MF2212021","MC009","-","","0","8","","1","2022-12-12 08:07:31","2022-12-12 08:07:31"
"271","MF2212022","MC001","-","","1","2","","1","2022-12-12 08:23:22","2022-12-12 08:24:18"
"272","MF2212022","MC002","-","","1","2","","1","2022-12-12 08:23:30","2022-12-12 08:24:20"
"273","MF2212022","MC003","-","","2","2","","1","2022-12-12 08:23:51","2022-12-12 08:24:21"
"274","MF2212022","MC004","-","","1","2","","1","2022-12-12 08:23:54","2022-12-12 08:24:23"
"275","MF2212022","EM001","-","","1","2","","1","2022-12-12 08:24:00","2022-12-12 08:24:24"
"276","MF2212022","LT002","-","","1","2","","1","2022-12-12 08:24:05","2022-12-12 08:24:25"
"277","MF2212022","LT001","-","","1","2","","1","2022-12-12 08:24:13","2022-12-12 08:24:30"
"278","MF2212022","MC005","-","","0","8","","1","2022-12-12 09:22:01","2022-12-12 09:22:01"
"279","MF2212022","MC006","-","","0","8","","1","2022-12-12 09:22:10","2022-12-12 09:22:10"
"280","MF2212022","MC007","-","","0","8","","1","2022-12-12 09:22:17","2022-12-12 09:22:17"
"281","MF2212022","MC008","-","","0","8","","1","2022-12-12 09:22:20","2022-12-12 09:22:20"
