"id","formula_masters_id","topic_number","topic_txt","users_id","created_at","updated_at"
"72","MF2212015","9","9.1 บรรจุเนื้อเซรั่ม สีขาวขุ่น ลงขวดแก้ว(สกรีนสีชมพู) ขนาด7 มล. ปริมาณ 7 กรัม/ขวด\n9.2 ประกอบจุกยาง(สีขา)/วาลฺว(สีขาว)/แท่งแก้ว(สีใส)เข้าด้วยกัน และหมุนปิดขวดแก้วสีขาว(สกรีนสีชมพู) ให้แน่นสนิท กรณีมีคราบเลอะให้เช็ดทำความสะอาดให้คราบหมด ก่อนเรียงใส่ตะกร้า \n9.3 บรรจุลงกล่อง(สีชมพู-ขาว) โดยให้พับด้านหน้าขวดไปทางเดียวกันกับด้านหน้ากล่อง\n9.4 บรรจุลงลังลูกค้า (ลังใหญ่สีชมพู) แล้วนำบับเบิ้ลวางปิดหน้าลัง ก่อนปิดปากลัง","1","2022-12-10 09:35:24","2022-12-12 06:16:32"
"73","MF2212015","11","จัดเก็บใน shipping box หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-10 09:37:20","2022-12-10 09:37:20"
"74","MF2212015","12","-","1","2022-12-10 09:37:25","2022-12-10 09:37:25"
"75","MF2212016","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-10 09:49:56","2022-12-10 09:49:56"
"76","MF2212016","6","opal glass","1","2022-12-10 09:50:06","2022-12-10 09:50:06"
"77","MF2212017","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-12 02:35:52","2022-12-12 02:35:52"
"78","MF2212017","6","หลอด, ฝาหมุน","1","2022-12-12 02:36:02","2022-12-12 02:36:02"
"79","MF2212017","9","9.1	บรรจุเนื้อครีมเหลวสีขาวลงในหลอดพลาสติกพร้อมสกรีน 7 กรัม/หลอด\n9.2	นำจุกในปลายแหลมใส่ปากหลอด\n9.3	นำฝาหมุนปิดปากหลอดให้แน่น\n9.4	บรรจุหลอดลงกล่องสีชมพู โดยหันหน้าหลอดไปทางเดียวกับหน้ากล่อง\n9.5	บรรจุลงลังลูกค้า ใช้ลังโซลไวท์เซรั่ม\n9.6	ใส่บับเบิ้ล ขนาด 36(ก)*30(ย)* 1 แผ่น ก่อนปิดลัง","1","2022-12-12 02:56:22","2022-12-12 02:56:22"
"80","MF2212017","11","จัดเก็บใน shipping packaging หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-12 02:58:22","2022-12-12 02:58:22"
"81","MF2212017","12","-","1","2022-12-12 02:58:30","2022-12-12 02:58:30"
"82","MF2212014","5","จัดเก็บในถัง Bulk ที่มีฝาปิด  หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-12 03:36:56","2022-12-12 03:36:56"
"83","MF2212016","11","จัดเก็บใน shipping box หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-12 03:51:16","2022-12-12 03:51:16"
"84","MF2212016","12","-","1","2022-12-12 03:51:21","2022-12-12 03:51:21"
"85","MF2212019","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-12 04:08:21","2022-12-12 04:08:21"
"86","MF2212019","6","ขวดแก้ว, ชุดดรอปเปอร์, กล่อง","1","2022-12-12 04:08:56","2022-12-12 04:08:56"
"87","MF2212019","11","จัดเก็บใน shipping packaging หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-12 04:11:02","2022-12-12 04:11:02"
"88","MF2212019","9","9.1 บรรจุเนื้อเซรั่ม(เจลใส-ไม่มีสี) ลงขวดแก้ว(สกรีนสีเทาหม่นน้ำตาลขนาด 24 ml) ปริมาณ 24 กรัม/ขวด\n9.2 ประกอบจุกยางสีขาว(สีขาว) วาล์ว(สีขาว) แท่งแก้ว(ใส) เข้าด้วยกัน และหมุนปิดขวดแก้วให้แน่นสนิท\n9.3 บรรจุลงกล่อง(สีขาว-ชมพู) โดยให้หันด้านหน้าขวดไปทางเดียวกับด้านหน้ากล่อง\n9.4 บรรจุลงลังลูกค้า แล้วนำบับเบิ้ลวางปิดหน้าลังก่อนปิดลัง","1","2022-12-12 04:28:30","2022-12-12 04:28:48"
